num_features,RF_indexes,SVM_indexes,RFSM_indexes,RF_time,SVM_time,RFSM_time,unreduced_score_forest,RF_scores_forest,SVM_scores_forest,RFSVM_scores_forest,unreduced_train_time_forest,RF_train_time_forest,SVM_train_time_forest,RFSVM_train_time_forest,unreduced_score_svc,RF_scores_svc,SVM_scores_svc,RFSVM_scores_svc,unreduced_train_time_svc,RF_train_time_svc,SVM_train_time_svc,RFSVM_train_time_svc,unreduced_score_knn,RF_scores_knn,SVM_scores_knn,RFSVM_scores_knn,unreduced_train_time_knn,RF_train_time_knn,SVM_train_time_knn,RFSVM_train_time_knn
1,[11],[1],[1],0,0,0,0.8367346938775511,0.6428571428571429,0.673469387755102,0.673469387755102,0,0,0,0,0.8367346938775511,0.6530612244897959,0.7142857142857143,0.7142857142857143,0,0,0,0,0.826530612244898,0.6530612244897959,0.6530612244897959,0.6530612244897959,0,0,0,0
2,[15  6],[3 1],[ 1 10],0,0,0,0.8367346938775511,0.5408163265306123,0.7448979591836735,0.6836734693877551,0,0,0,0,0.8367346938775511,0.5918367346938775,0.7857142857142857,0.7244897959183674,0,0,0,0,0.826530612244898,0.4897959183673469,0.7755102040816326,0.7244897959183674,0,0,0,0
3,[ 1 11 10],[12  3  1],[ 2  1 10],0,0,0,0.8367346938775511,0.7244897959183674,0.7448979591836735,0.7142857142857143,0,0,0,0,0.8367346938775511,0.7244897959183674,0.7857142857142857,0.7244897959183674,0,0,0,0,0.826530612244898,0.7551020408163265,0.7653061224489796,0.7448979591836735,0,0,0,0
4,[ 0 10  1 19],[ 2 12  3  1],[11  1  2 10],0,0,0,0.8367346938775511,0.7346938775510204,0.7448979591836735,0.7551020408163265,0,0,0,0,0.8367346938775511,0.826530612244898,0.7857142857142857,0.7244897959183674,0,0,0,0,0.826530612244898,0.826530612244898,0.7959183673469388,0.7244897959183674,0,0,0,0
